Date,Store ID,Product ID,Quantity sold
01/06/2025,S001,P049,10
01/06/2025,S001,P031,4
01/06/2025,S001,P035,15
01/06/2025,S001,P015,13
01/06/2025,S001,P050,20
01/06/2025,S001,P040,1
01/06/2025,S001,P002,1
01/06/2025,S001,P006,5
01/06/2025,S002,P022,17
01/06/2025,S002,P003,11
01/06/2025,S002,P026,1
01/06/2025,S002,P032,17
01/06/2025,S002,P034,9
01/06/2025,S002,P011,19
01/06/2025,S002,P006,1
01/06/2025,S002,P001,13
01/06/2025,S002,P008,20
01/06/2025,S003,P034,11
01/06/2025,S003,P042,15
01/06/2025,S003,P027,15
01/06/2025,S003,P016,9
01/06/2025,S003,P047,20
01/06/2025,S003,P046,8
01/06/2025,S003,P030,19
01/06/2025,S003,P014,11
01/06/2025,S003,P015,6
01/06/2025,S003,P049,1
01/06/2025,S003,P007,10
01/06/2025,S003,P026,7
01/06/2025,S003,P002,18
01/06/2025,S004,P017,11
01/06/2025,S004,P046,16
01/06/2025,S004,P002,17
01/06/2025,S004,P015,7
01/06/2025,S004,P026,10
01/06/2025,S004,P011,13
01/06/2025,S004,P043,10
01/06/2025,S004,P018,16
01/06/2025,S004,P025,14
01/06/2025,S004,P001,14
01/06/2025,S004,P041,16
01/06/2025,S004,P034,10
01/06/2025,S004,P042,17
01/06/2025,S004,P012,10
01/06/2025,S004,P022,6
01/06/2025,S005,P036,13
01/06/2025,S005,P028,11
01/06/2025,S005,P031,17
01/06/2025,S005,P016,17
01/06/2025,S005,P017,3
01/06/2025,S005,P008,10
01/06/2025,S005,P030,12
01/06/2025,S005,P040,13
01/06/2025,S005,P033,19
01/06/2025,S005,P019,4
01/06/2025,S005,P005,15
01/06/2025,S005,P041,12
01/06/2025,S006,P046,7
01/06/2025,S006,P026,6
01/06/2025,S006,P006,20
01/06/2025,S006,P009,19
01/06/2025,S006,P008,6
01/06/2025,S006,P019,8
01/06/2025,S006,P003,1
01/06/2025,S006,P037,8
01/06/2025,S006,P030,7
01/06/2025,S006,P017,5
01/06/2025,S006,P029,19
01/06/2025,S006,P005,12
01/06/2025,S007,P041,8
01/06/2025,S007,P044,15
