Date,Store ID,Product ID,Quantity sold
01/05/2025,S001,P018,7
01/05/2025,S001,P011,9
01/05/2025,S001,P034,16
01/05/2025,S001,P035,1
01/05/2025,S001,P019,16
01/05/2025,S001,P012,7
01/05/2025,S001,P029,15
01/05/2025,S001,P004,1
01/05/2025,S001,P025,14
01/05/2025,S001,P001,3
01/05/2025,S001,P022,10
01/05/2025,S001,P033,2
01/05/2025,S001,P037,14
01/05/2025,S001,P024,6
01/05/2025,S001,P047,6
01/05/2025,S002,P023,1
01/05/2025,S002,P035,4
01/05/2025,S002,P001,5
01/05/2025,S002,P025,4
01/05/2025,S002,P013,17
01/05/2025,S002,P030,14
01/05/2025,S002,P045,17
01/05/2025,S002,P047,5
01/05/2025,S002,P031,17
01/05/2025,S002,P003,3
01/05/2025,S002,P012,1
01/05/2025,S002,P046,20
01/05/2025,S002,P024,6
01/05/2025,S002,P017,17
01/05/2025,S002,P049,1
01/05/2025,S003,P010,10
01/05/2025,S003,P024,5
01/05/2025,S003,P008,13
01/05/2025,S003,P020,8
01/05/2025,S003,P001,10
01/05/2025,S003,P029,11
01/05/2025,S003,P005,17
01/05/2025,S003,P013,5
01/05/2025,S003,P045,5
01/05/2025,S003,P040,17
01/05/2025,S003,P016,11
01/05/2025,S003,P019,9
01/05/2025,S003,P028,12
01/05/2025,S003,P022,9
01/05/2025,S004,P014,14
01/05/2025,S004,P049,11
01/05/2025,S004,P015,7
01/05/2025,S004,P036,17
01/05/2025,S004,P048,2
01/05/2025,S004,P038,10
01/05/2025,S004,P013,15
01/05/2025,S004,P025,16
01/05/2025,S005,P028,16
01/05/2025,S005,P026,13
01/05/2025,S005,P035,3
01/05/2025,S005,P014,20
01/05/2025,S005,P049,17
01/05/2025,S005,P015,4
01/05/2025,S005,P022,8
01/05/2025,S006,P001,11
01/05/2025,S006,P003,20
01/05/2025,S006,P017,20
01/05/2025,S006,P026,15
01/05/2025,S006,P037,12
01/05/2025,S006,P044,10
01/05/2025,S006,P035,19
01/05/2025,S006,P030,3
01/05/2025,S006,P016,13
01/05/2025,S006,P033,4
01/05/2025,S007,P033,1
01/05/2025,S007,P047,10
01/05/2025,S007,P025,3
01/05/2025,S007,P016,18
01/05/2025,S007,P005,9
01/05/2025,S007,P006,5
01/05/2025,S007,P040,4
01/05/2025,S007,P015,7
01/05/2025,S007,P043,9
01/05/2025,S007,P013,16
01/05/2025,S007,P020,2
01/05/2025,S007,P042,6
01/05/2025,S008,P033,13
01/05/2025,S008,P015,2
01/05/2025,S008,P035,15
01/05/2025,S008,P031,9
01/05/2025,S008,P014,17
01/05/2025,S008,P044,20
01/05/2025,S008,P018,2
01/05/2025,S008,P002,9
01/05/2025,S008,P025,5
01/05/2025,S008,P027,15
01/05/2025,S008,P001,12
01/05/2025,S008,P029,4
01/05/2025,S008,P034,6
01/05/2025,S008,P038,10
01/05/2025,S009,P045,1
01/05/2025,S009,P006,18
01/05/2025,S009,P040,16
01/05/2025,S009,P015,8
01/05/2025,S009,P028,19
01/05/2025,S009,P049,17
01/05/2025,S009,P008,9
01/05/2025,S009,P009,17
01/05/2025,S009,P019,6
01/05/2025,S009,P042,11
01/05/2025,S009,P012,8
01/05/2025,S009,P047,17
01/05/2025,S009,P043,7
01/05/2025,S010,P020,6
01/05/2025,S010,P008,20
01/05/2025,S010,P023,3
01/05/2025,S010,P024,19
01/05/2025,S010,P007,3
01/05/2025,S010,P046,3
02/05/2025,S001,P025,9
02/05/2025,S001,P020,19
02/05/2025,S001,P030,17
02/05/2025,S001,P013,4
02/05/2025,S001,P006,12
02/05/2025,S001,P017,14
02/05/2025,S001,P007,11
02/05/2025,S001,P034,2
02/05/2025,S001,P011,18
02/05/2025,S001,P047,18
02/05/2025,S001,P010,2
02/05/2025,S001,P016,18
02/05/2025,S001,P031,16
02/05/2025,S002,P031,17
02/05/2025,S002,P046,13
02/05/2025,S002,P048,11
02/05/2025,S002,P036,17
02/05/2025,S002,P011,15
02/05/2025,S002,P001,10
02/05/2025,S002,P023,8
02/05/2025,S002,P032,8
02/05/2025,S003,P020,10
02/05/2025,S003,P042,12
02/05/2025,S003,P001,9
02/05/2025,S003,P024,12
02/05/2025,S003,P047,5
02/05/2025,S003,P038,15
02/05/2025,S003,P048,15
02/05/2025,S003,P033,9
02/05/2025,S003,P013,5
02/05/2025,S003,P010,11
02/05/2025,S003,P007,16
02/05/2025,S003,P050,15
02/05/2025,S003,P022,1
02/05/2025,S003,P044,16
02/05/2025,S004,P009,5
02/05/2025,S004,P050,15
02/05/2025,S004,P036,11
02/05/2025,S004,P038,18
02/05/2025,S004,P044,10
02/05/2025,S004,P019,16
02/05/2025,S004,P015,5
02/05/2025,S004,P024,5
02/05/2025,S004,P035,9
02/05/2025,S004,P010,7
02/05/2025,S004,P007,6
02/05/2025,S004,P013,13
02/05/2025,S004,P034,4
02/05/2025,S005,P028,6
02/05/2025,S005,P035,14
02/05/2025,S005,P006,13
02/05/2025,S005,P049,9
02/05/2025,S005,P027,11
02/05/2025,S005,P004,12
02/05/2025,S005,P021,2
02/05/2025,S005,P010,14
02/05/2025,S005,P003,1
02/05/2025,S005,P044,10
02/05/2025,S005,P005,15
02/05/2025,S005,P039,13
02/05/2025,S006,P002,17
02/05/2025,S006,P033,11
02/05/2025,S006,P038,2
02/05/2025,S006,P050,15
02/05/2025,S006,P014,15
02/05/2025,S006,P030,20
02/05/2025,S006,P049,10
02/05/2025,S007,P049,7
02/05/2025,S007,P040,1
02/05/2025,S007,P001,11
02/05/2025,S007,P008,15
02/05/2025,S007,P034,11
02/05/2025,S007,P029,12
02/05/2025,S007,P039,19
02/05/2025,S008,P023,15
02/05/2025,S008,P003,11
02/05/2025,S008,P049,4
02/05/2025,S008,P021,12
02/05/2025,S008,P031,4
02/05/2025,S008,P018,16
02/05/2025,S008,P019,6
02/05/2025,S008,P039,12
02/05/2025,S008,P046,19
02/05/2025,S008,P013,16
02/05/2025,S008,P034,20
02/05/2025,S008,P014,2
02/05/2025,S008,P035,13
02/05/2025,S009,P035,14
02/05/2025,S009,P033,17
02/05/2025,S009,P007,8
02/05/2025,S009,P019,10
02/05/2025,S009,P005,7
02/05/2025,S009,P044,19
02/05/2025,S009,P020,2
02/05/2025,S009,P011,8
02/05/2025,S009,P042,12
02/05/2025,S009,P040,19
02/05/2025,S009,P001,16
02/05/2025,S010,P014,18
02/05/2025,S010,P033,4
02/05/2025,S010,P042,18
02/05/2025,S010,P050,10
02/05/2025,S010,P031,2
02/05/2025,S010,P027,2
02/05/2025,S010,P039,9
02/05/2025,S010,P041,12
02/05/2025,S010,P044,8
02/05/2025,S010,P007,7
02/05/2025,S010,P045,1
02/05/2025,S010,P002,5
03/05/2025,S001,P001,18
03/05/2025,S001,P016,8
03/05/2025,S001,P028,17
03/05/2025,S001,P018,5
03/05/2025,S001,P013,5
03/05/2025,S001,P020,17
03/05/2025,S001,P022,10
03/05/2025,S001,P015,13
03/05/2025,S001,P031,9
03/05/2025,S001,P010,4
03/05/2025,S001,P019,4
03/05/2025,S001,P050,13
03/05/2025,S001,P037,2
03/05/2025,S002,P006,16
03/05/2025,S002,P034,20
03/05/2025,S002,P050,9
03/05/2025,S002,P012,10
03/05/2025,S002,P045,14
